11384	2026-04-20 12:00:32	1	1	1	0
2547	2026-04-20 12:02:13	1	1	1	0
12124	2026-04-20 12:03:04	1	1	1	0
11231	2026-04-20 12:05:09	1	1	1	0
10887	2026-04-20 12:08:14	1	1	1	0
11177	2026-04-20 12:32:14	1	1	1	0
10838	2026-04-20 12:39:41	1	1	1	0
855	2026-04-20 12:50:01	1	1	1	0
10186	2026-04-20 12:52:20	1	1	1	0
11231	2026-04-20 12:52:27	1	1	1	0
855	2026-04-20 12:52:40	1	1	1	0
10887	2026-04-20 12:52:46	1	1	1	0
12124	2026-04-20 12:54:12	1	1	1	0
2547	2026-04-20 12:55:11	1	1	1	0
11229	2026-04-20 12:56:48	1	1	1	0
11806	2026-04-20 13:07:57	1	1	1	0
10186	2026-04-20 17:01:43	1	1	1	0
2547	2026-04-20 17:02:45	1	1	1	0
8615	2026-04-20 17:06:27	1	1	1	0
12124	2026-04-20 17:12:05	1	1	1	0
11231	2026-04-20 17:14:41	1	1	1	0
11177	2026-04-20 18:01:10	1	1	1	0
11229	2026-04-20 18:03:32	1	1	1	0
10839	2026-04-20 18:10:15	1	1	1	0
15	2026-04-20 18:10:37	1	1	1	0
470	2026-04-20 18:11:26	1	1	1	0
108	2026-04-20 18:12:39	1	1	1	0
10145	2026-04-20 18:14:49	1	1	1	0
732	2026-04-20 18:19:41	1	1	1	0
203	2026-04-20 18:27:32	1	1	1	0
10284	2026-04-20 18:30:04	1	1	1	0
855	2026-04-20 19:11:41	1	1	1	0
10887	2026-04-20 19:18:31	1	1	1	0
872	2026-04-20 22:45:58	1	1	1	0
15	2026-04-21 07:05:35	1	1	1	0
8615	2026-04-21 07:30:11	1	1	1	0
872	2026-04-21 07:41:41	1	1	1	0
2547	2026-04-21 07:45:53	1	1	1	0
10847	2026-04-21 07:50:11	1	1	1	0
12223	2026-04-21 07:53:11	1	1	1	0
10599	2026-04-21 07:53:42	1	1	1	0
10887	2026-04-21 07:54:46	1	1	1	0
108	2026-04-21 07:55:25	1	1	1	0
10755	2026-04-21 07:55:52	1	1	1	0
10507	2026-04-21 07:58:14	1	1	1	0
11229	2026-04-21 07:58:35	1	1	1	0
12124	2026-04-21 07:58:45	1	1	1	0
11689	2026-04-21 08:00:40	1	1	1	0
11772	2026-04-21 08:00:45	1	1	1	0
11914	2026-04-21 08:00:49	1	1	1	0
11209	2026-04-21 08:02:09	1	1	1	0
11177	2026-04-21 08:02:35	1	1	1	0
855	2026-04-21 08:03:29	1	1	1	0
11231	2026-04-21 08:03:44	1	1	1	0
10496	2026-04-21 08:03:51	1	1	1	0
10186	2026-04-21 08:03:57	1	1	1	0
732	2026-04-21 08:14:06	1	1	1	0
10284	2026-04-21 08:15:22	1	1	1	0
10110	2026-04-21 08:17:09	1	1	1	0
10497	2026-04-21 08:17:43	1	1	1	0
10145	2026-04-21 08:20:16	1	1	1	0
470	2026-04-21 08:23:22	1	1	1	0
10973	2026-04-21 08:26:14	1	1	1	0
12002	2026-04-21 08:30:12	1	1	1	0
10262	2026-04-21 08:32:53	1	1	1	0
10262	2026-04-21 08:33:08	1	1	1	0
203	2026-04-21 08:37:30	1	1	1	0
732	2026-04-21 11:09:07	1	1	1	0
11229	2026-04-21 12:01:34	1	1	1	0
10186	2026-04-21 12:01:47	1	1	1	0
2547	2026-04-21 12:01:59	1	1	1	0
10110	2026-04-21 12:03:06	1	1	1	0
12124	2026-04-21 12:04:59	1	1	1	0
11231	2026-04-21 12:07:46	1	1	1	0
11177	2026-04-21 12:09:27	1	1	1	0
10186	2026-04-21 12:30:04	1	1	1	0
10635	2026-04-21 12:32:45	1	1	1	0
10110	2026-04-21 12:35:41	1	1	1	0
12124	2026-04-21 12:39:01	1	1	1	0
10838	2026-04-21 12:43:41	1	1	1	0
2544	2026-04-21 12:43:47	1	1	1	0
11231	2026-04-21 12:51:07	1	1	1	0
2547	2026-04-21 12:52:54	1	1	1	0
855	2026-04-21 12:53:24	1	1	1	0
10887	2026-04-21 12:55:09	1	1	1	0
855	2026-04-21 12:56:09	1	1	1	0
11308	2026-04-21 12:58:47	1	1	1	0
11229	2026-04-21 12:58:51	1	1	1	0
10497	2026-04-21 12:58:58	1	1	1	0
10186	2026-04-21 17:01:23	1	1	1	0
12124	2026-04-21 17:01:40	1	1	1	0
2547	2026-04-21 17:02:21	1	1	1	0
8615	2026-04-21 17:05:03	1	1	1	0
11231	2026-04-21 17:11:23	1	1	1	0
2544	2026-04-21 17:26:49	1	1	1	0
872	2026-04-21 17:45:50	1	1	1	0
11177	2026-04-21 18:01:20	1	1	1	0
10847	2026-04-21 18:03:07	1	1	1	0
11914	2026-04-21 18:03:12	1	1	1	0
855	2026-04-21 18:04:38	1	1	1	0
108	2026-04-21 18:06:16	1	1	1	0
732	2026-04-21 18:09:24	1	1	1	0
10284	2026-04-21 18:11:10	1	1	1	0
10755	2026-04-21 18:14:10	1	1	1	0
15	2026-04-21 18:15:48	1	1	1	0
470	2026-04-21 18:21:39	1	1	1	0
10262	2026-04-21 18:30:34	1	1	1	0
10262	2026-04-21 18:30:39	1	1	1	0
10973	2026-04-21 18:35:45	1	1	1	0
10887	2026-04-21 18:55:02	1	1	1	0
15	2026-04-22 07:21:13	1	1	1	0
8615	2026-04-22 07:42:45	1	1	1	0
2547	2026-04-22 07:44:21	1	1	1	0
6661	2026-04-22 07:51:40	1	1	1	0
10847	2026-04-22 07:55:05	1	1	1	0
10887	2026-04-22 07:55:34	1	1	1	0
10755	2026-04-22 07:56:01	1	1	1	0
10635	2026-04-22 07:57:02	1	1	1	0
12124	2026-04-22 07:58:25	1	1	1	0
2544	2026-04-22 07:58:40	1	1	1	0
11229	2026-04-22 07:59:01	1	1	1	0
11308	2026-04-22 07:59:09	1	1	1	0
10496	2026-04-22 07:59:13	1	1	1	0
10507	2026-04-22 07:59:49	1	1	1	0
11266	2026-04-22 08:00:35	1	1	1	0
11772	2026-04-22 08:00:41	1	1	1	0
11914	2026-04-22 08:01:29	1	1	1	0
10866	2026-04-22 08:01:50	1	1	1	0
10838	2026-04-22 08:01:55	1	1	1	0
10110	2026-04-22 08:07:12	1	1	1	0
11202	2026-04-22 08:07:55	1	1	1	0
10973	2026-04-22 08:10:04	1	1	1	0
108	2026-04-22 08:10:10	1	1	1	0
10186	2026-04-22 08:10:37	1	1	1	0
12002	2026-04-22 08:17:35	1	1	1	0
470	2026-04-22 08:20:26	1	1	1	0
732	2026-04-22 08:22:12	1	1	1	0
10497	2026-04-22 08:25:19	1	1	1	0
203	2026-04-22 08:26:30	1	1	1	0
10145	2026-04-22 08:32:05	1	1	1	0
855	2026-04-22 08:47:02	1	1	1	0
10262	2026-04-22 08:49:28	1	1	1	0
10262	2026-04-22 08:49:31	1	1	1	0
10186	2026-04-22 12:00:05	1	1	1	0
11384	2026-04-22 12:00:23	1	1	1	0
6661	2026-04-22 12:01:05	1	1	1	0
10519	2026-04-22 12:01:23	1	1	1	0
2547	2026-04-22 12:02:51	1	1	1	0
2544	2026-04-22 12:04:12	1	1	1	0
10887	2026-04-22 12:05:48	1	1	1	0
12124	2026-04-22 12:06:24	1	1	1	0
10755	2026-04-22 12:09:01	1	1	1	0
10847	2026-04-22 12:12:28	1	1	1	0
6661	2026-04-22 12:30:06	1	1	1	0
10186	2026-04-22 12:30:16	1	1	1	0
12223	2026-04-22 12:31:38	1	1	1	0
10977	2026-04-22 12:33:28	1	1	1	0
10838	2026-04-22 12:34:10	1	1	1	0
11384	2026-04-22 12:34:27	1	1	1	0
10847	2026-04-22 12:34:47	1	1	1	0
10887	2026-04-22 12:48:16	1	1	1	0
10755	2026-04-22 12:52:29	1	1	1	0
12124	2026-04-22 12:53:55	1	1	1	0
11231	2026-04-22 12:55:22	1	1	1	0
11229	2026-04-22 12:58:31	1	1	1	0
12124	2026-04-22 17:01:52	1	1	1	0
10186	2026-04-22 17:04:25	1	1	1	0
8615	2026-04-22 17:06:26	1	1	1	0
11231	2026-04-22 17:15:23	1	1	1	0
2544	2026-04-22 17:23:07	1	1	1	0
10887	2026-04-22 17:43:29	1	1	1	0
855	2026-04-22 18:01:20	1	1	1	0
10847	2026-04-22 18:02:39	1	1	1	0
470	2026-04-22 18:03:18	1	1	1	0
10110	2026-04-22 18:06:36	1	1	1	0
10262	2026-04-22 18:06:59	1	1	1	0
10262	2026-04-22 18:07:04	1	1	1	0
10262	2026-04-22 18:07:09	1	1	1	0
10145	2026-04-22 18:08:45	1	1	1	0
732	2026-04-22 18:10:14	1	1	1	0
15	2026-04-22 18:12:45	1	1	1	0
108	2026-04-22 18:23:50	1	1	1	0
10284	2026-04-22 18:29:06	1	1	1	0
10973	2026-04-22 18:35:23	1	1	1	0
2544	2026-04-23 06:50:27	1	1	1	0
15	2026-04-23 07:31:26	1	1	1	0
8615	2026-04-23 07:33:44	1	1	1	0
872	2026-04-23 07:36:25	1	1	1	0
11950	2026-04-23 07:41:41	1	1	1	0
11950	2026-04-23 07:41:48	1	1	1	0
2547	2026-04-23 07:49:14	1	1	1	0
11202	2026-04-23 07:56:49	1	1	1	0
11177	2026-04-23 07:57:32	1	1	1	0
10887	2026-04-23 07:57:41	1	1	1	0
10755	2026-04-23 07:57:45	1	1	1	0
11229	2026-04-23 07:59:30	1	1	1	0
11308	2026-04-23 07:59:33	1	1	1	0
10284	2026-04-23 07:59:47	1	1	1	0
10599	2026-04-23 08:00:02	1	1	1	0
11914	2026-04-23 08:00:06	1	1	1	0
10273	2026-04-23 08:00:34	1	1	1	0
12124	2026-04-23 08:03:20	1	1	1	0
12223	2026-04-23 08:06:13	1	1	1	0
11772	2026-04-23 08:06:53	1	1	1	0
10973	2026-04-23 08:07:24	1	1	1	0
108	2026-04-23 08:11:31	1	1	1	0
11231	2026-04-23 08:11:59	1	1	1	0
732	2026-04-23 08:12:06	1	1	1	0
855	2026-04-23 08:18:09	1	1	1	0
470	2026-04-23 08:31:28	1	1	1	0
203	2026-04-23 08:31:55	1	1	1	0
12002	2026-04-23 08:38:21	1	1	1	0
2547	2026-04-23 12:02:08	1	1	1	0
855	2026-04-23 12:03:17	1	1	1	0
12124	2026-04-23 12:03:53	1	1	1	0
11231	2026-04-23 12:08:00	1	1	1	0
872	2026-04-23 12:13:24	1	1	1	0
872	2026-04-23 12:31:23	1	1	1	0
10977	2026-04-23 12:32:49	1	1	1	0
10847	2026-04-23 12:34:12	1	1	1	0
10838	2026-04-23 12:36:39	1	1	1	0
10635	2026-04-23 12:37:05	1	1	1	0
10887	2026-04-23 12:48:13	1	1	1	0
855	2026-04-23 12:49:40	1	1	1	0
12124	2026-04-23 12:50:06	1	1	1	0
10273	2026-04-23 12:51:04	1	1	1	0
10110	2026-04-23 12:53:38	1	1	1	0
2547	2026-04-23 12:56:29	1	1	1	0
11229	2026-04-23 12:57:36	1	1	1	0
11231	2026-04-23 12:59:36	1	1	1	0
11384	2026-04-23 17:00:55	1	1	1	0
872	2026-04-23 17:01:26	1	1	1	0
8615	2026-04-23 17:01:35	1	1	1	0
2547	2026-04-23 17:03:36	1	1	1	0
12124	2026-04-23 17:11:21	1	1	1	0
11231	2026-04-23 17:21:56	1	1	1	0
